Name,POR - Virtual Name,POR - Virtual Name - use this ONE,ID,Status,Environment,OS Version,Pool data available,Proc mode,RMC IP,RMC State,Default profile,Current profile,Migration disabled,Auto start,Suspend capable,Remote restart capable,Simplified remote restart capable,Remote restart status,Sync current profile,Managed System Name,Managed System Serial,LPAR CPU,LPAR MEM
24HR_boi24hrsbaix2,boi24hrsbaix2,boi24hrsbaix2,17,Running,aixlinux,AIX 6.1 6100-09-12-1846,FALSE,POWER7,10.71.13.179,active,boi24hrsbaix2_profile,boi24hrsbaix2_profile,FALSE,FALSE,FALSE,FALSE,FALSE,N/A,FALSE,p770-9117-MMD-SN65544CF-CAB4,65544CF,#N/A,#N/A
ADS_bbcdaa1,bbcdaa1,bbcdaa1,54,Running,aixlinux,AIX 6.1 6100-09-12-1846,FALSE,POWER7,10.64.68.101,active,Normal,Normal,FALSE,FALSE,FALSE,FALSE,FALSE,N/A,FALSE,p770-9117-MMD-SN061C000-CAB3,061C000,1,6
ADS_bbcdaa2,bbcdaa2,bbcdaa2,54,Running,aixlinux,AIX 6.1 6100-09-12-1846,FALSE,POWER7,10.64.68.120,active,Normal,Normal,FALSE,FALSE,FALSE,FALSE,FALSE,N/A,FALSE,p770-9117-MMD-SN65544CF-CAB4,65544CF,#N/A,#N/A
INM90X1,INM90X1,INM90X1,30,Running,aixlinux,AIX 7.3 7300-02-02-2420,false,POWER8,10.71.129.54,active,normal,normal,false,false,false,false,false,N/A,false,BOI-CAB-PRD-E870-2,108325D,2,7
ADS_bbciga51,bbciga51,bbciga51,55,Running,aixlinux,AIX 6.1 6100-09-12-1846,FALSE,POWER7,10.64.68.114,active,Normal,Normal,FALSE,FALSE,FALSE,FALSE,FALSE,N/A,FALSE,p770-9117-MMD-SN061C000-CAB3,061C000,1,16
ADS_bbciga52,bbciga52,bbciga52,56,Running,aixlinux,AIX 6.1 6100-09-12-1846,FALSE,POWER7,10.64.68.27,active,Normal,Normal,FALSE,FALSE,FALSE,FALSE,FALSE,N/A,FALSE,p770-9117-MMD-SN061C000-CAB3,061C000,1,10
ADS_bbciga53_Migrated,bbciga53_Migrated,bbciga53_Migrated,57,Not Activated,aixlinux,AIX 7.2 7200-05-07-2346,FALSE,POWER7,10.64.68.124,inactive,Normal,Normal,FALSE,FALSE,FALSE,FALSE,FALSE,N/A,FALSE,p770-9117-MMD-SN061C000-CAB3,061C000,0,60
DR_bbmsaspgwa4,bbmsaspgwa4,bbmsaspgwa4,120,Not Activated,aixlinux,Unknown,false,POWER8,,inactive,normal,,false,false,false,false,false,N/A,false,BOI-CAB-PRD-E870-2,108325D,0,0
ADS_bbciga61,bbciga61,bbciga61,55,Running,aixlinux,AIX 7.2 7200-05-08-2420,FALSE,POWER7,10.64.68.115,active,Normal,Normal,FALSE,FALSE,FALSE,FALSE,FALSE,N/A,FALSE,p770-9117-MMD-SN65544CF-CAB4,65544CF,#N/A,#N/A
DR_bbmsaspgwa3,bbmsaspgwa3,bbmsaspgwa3,119,Not Activated,aixlinux,Unknown,false,POWER8,,inactive,normal,,false,false,false,false,false,N/A,false,BOI-CAB-PRD-E870-2,108325D,0,0
ADS_bbciga62,bbciga62,bbciga62,56,Running,aixlinux,AIX 7.2 7200-05-08-2420,FALSE,POWER7,10.64.68.29,active,Normal,Normal,FALSE,FALSE,FALSE,FALSE,FALSE,N/A,FALSE,p770-9117-MMD-SN65544CF-CAB4,65544CF,#N/A,#N/A
DR_bbmsaspgwa2,bbmsaspgwa2,bbmsaspgwa2,118,Not Activated,aixlinux,Unknown,false,POWER8,,inactive,normal,,false,false,false,false,false,N/A,false,BOI-CAB-PRD-E870-2,108325D,0,0
DR_bbmsaspgwa1,bbmsaspgwa1,bbmsaspgwa1,117,Not Activated,aixlinux,Unknown,false,POWER8,,inactive,normal,,false,false,false,false,false,N/A,false,BOI-CAB-PRD-E870-2,108325D,0,0
DR_bbmsaspgma1,bbmsaspgma1,bbmsaspgma1,116,Not Activated,aixlinux,Unknown,false,POWER8,,inactive,normal,,false,false,false,false,false,N/A,false,BOI-CAB-PRD-E870-2,108325D,0,0
DR_bbmsaspmta2,bbmsaspmta2,bbmsaspmta2,115,Not Activated,aixlinux,Unknown,false,POWER8,,inactive,normal,,false,false,false,false,false,N/A,false,BOI-CAB-PRD-E870-2,108325D,0,0
ADS_bbciga63,bbciga63,bbciga63,61,Running,aixlinux,AIX 7.1 7100-05-11-2246,FALSE,POWER7,10.64.68.99,active,Normal,Normal,FALSE,FALSE,FALSE,FALSE,FALSE,N/A,FALSE,p770-9117-MMD-SN65544CF-CAB4,65544CF,#N/A,#N/A
